ModelSim Parent Window: ModelSim - INTEL FPGA STARTER EDITION 2020.1
HWND: 1119804
Size: 2011x1236
Position: (436, 107)

Total child windows: 589

========================================================================================================================

All child windows (sorted by size):
  #       HWND Class                                    Title                          Size            Position             Area      
--------------------------------------------------------------------------------------------------------------------------------------------
125    1777170 ScrollBar                                                               392x15          (446, 665)           5880      
126    1579886 ScrollBar                                                               392x15          (848, 688)           5880      
127    1055528 TkChild                                                                 150x39          (1260, 617)          5850      
128    1512936 TkChild                                                                 180x32          (445, 191)           5760      
129    3017090 TkChild                                                                 178x32          (1360, 159)          5696      
130    1383478 TkChild                                                                 187x30          (1453, 192)          5610      
131    1710876 TkChild                                                                 1865x3          (520, 722)           5595      
132    2496210 TkChild                                                                 1865x3          (520, 717)           5595      
133    1646522 TkChild                                                                 254x22          (1037, 195)          5588      
134    1316144 TkChild                                                                 186x30          (742, 192)           5580      
135    2169160 TkChild                                                                 185x30          (1454, 192)          5550      
136    2431388 TkChild                                                                 184x30          (743, 192)           5520      
137    1643240 TkChild                                                                 169x32          (2236, 159)          5408      
138    2689256 TkChild                                                                 173x30          (451, 192)           5190      
139    1383218 TkChild                                                                 15x345          (2419, 268)          5175      
140    3087008 TkChild                                                                 171x30          (452, 192)           5130      
141    1514872 TkChild                                                                 171x30          (1366, 160)          5130      
142    2429268 TkChild                                                                 169x30          (1367, 160)          5070      
143    1186706 TkChild                                                                 250x20          (1039, 196)          5000      
144    1580710 TkChild                                                                 154x32          (2081, 159)          4928      
145    2038744 TkChild                                                                 162x30          (2242, 160)          4860      
146    1052946 TkChild                                                                 160x30          (2243, 160)          4800      
147    1249984 TkChild                                                                 149x32          (1297, 191)          4768      
148    2825876 TkChild                                                                 236x19          (1836, 164)          4484      
149     854310 TkChild                                                                 147x30          (2087, 160)          4410      
150    1839056 TkChild                                                                 145x30          (2088, 160)          4350      
151    3475614 TkChild                                                                 142x30          (1303, 192)          4260      
152    1382604 TkChild                                                                 140x30          (1304, 192)          4200      
153    2298240 TkChild                                                                 214x19          (1837, 164)          4066      
154    1710352 TkChild                                                                 127x32          (811, 159)           4064      
155    6230968 TkChild                                                                 190x21          (1551, 163)          3990      
156    1317696 TkChild                                                                 100x39          (1413, 617)          3900      
157    1642708 TkChild                                                                 198x19          (446, 1314)          3762      
158    1380242 TkChild                                                                 172x21          (2249, 1313)         3612      
159    3021060 TkChild                                                                 120x30          (817, 160)           3600      
160    2560326 TkChild                                                                 1183x3          (1252, 656)          3549      
161    1118430 TkChild                                                                 1183x3          (1252, 614)          3549      
162    1383816 TkChild                                                                 1183x3          (1252, 264)          3549      
163    1317286 TkChild                                                                 118x30          (818, 160)           3540      
164    2170460 TkChild                                                                 186x19          (1553, 164)          3534      
165    1186176 TkChild                                                                 109x32          (626, 191)           3488      
166    1644612 TkChild                                                                 183x19          (1040, 197)          3477      
167    1317316 Static                                                                  196x17          (447, 1315)          3332      
168    1907904 TkChild                                                                 150x22          (1260, 617)          3300      
169     657112 TkChild                                                                 170x19          (2250, 1314)         3230      
170    1448110 TkChild                                                                 170x19          (2250, 1314)         3230      
171    1447406 TkChild                                                                 170x19          (2250, 1314)         3230      
172     723246 TkChild                                                                 1035x3          (1350, 236)          3105      
173    2230402 TkChild                                                                 1035x3          (1350, 231)          3105      
174    1251654 TkChild                                                                 102x30          (632, 192)           3060      
175    1315550 TkChild                                                                 100x30          (633, 192)           3000      
176     987444 TkChild                                                                 150x19          (1260, 659)          2850      
177    4529062 TkChild                                                                 8x347           (1252, 267)          2776      
178    1318436 TkChild                                                                 8x347           (1252, 267)          2776      
179    5119312 TkChild                                                                 277x10          (911, 230)           2770      
180    1449566 TkChild                                                                 145x19          (1593, 164)          2755      
181     921910 Static                                                                  160x17          (2255, 1315)         2720      
182    2694238 TkChild                                                                 150x18          (1260, 246)          2700      
183    1118718 TkChild                                                                 138x19          (1084, 197)          2622      
184    1446710 TkChild                                                                 152x17          (1299, 489)          2584      
185     723244 TkChild                                                                 152x17          (1299, 489)          2584      
186    1317740 ScrollBar                                                               150x17          (1260, 660)          2550      
